prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Starville Roll On 60 ml,EGP 150.00,EGP 99.00,34%,4.4 out of 5
Renol General Disinfectant – 500 ml – 2 Pcs,EGP 115.00,EGP 79.00,31%,4.3 out of 5
Shaan Rejuvenation Cream 120 gm,EGP 150.00,EGP 110.00,27%,4.5 out of 5
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,EGP 609.00 - EGP 799.00,EGP 274.00 - EGP 449.00,66%,3.9 out of 5
Frida Home Cleaning Fragrance Sahra 480 ml,EGP 72.00,EGP 41.00,43%,4.3 out of 5
Bahi Powder Lavander - 1500 G,EGP 127.00,EGP 87.00,31%,4.2 out of 5
Starville Roll On Light Pink Scent 60 ml,EGP 150.00,EGP 95.00,37%,4.4 out of 5
Renol Total Protection Disinfectant - 250 ml - 2 + 1 free,EGP 100.00,EGP 89.00,11%,4.3 out of 5
"NIVEA Antiperspirant Roll-on for Men, 72h Protection, DEEP DARK WOOD Antibacterial, Woody Scent, 50ml",EGP 100.00,EGP 69.00,31%,4.4 out of 5
Familia Facial Tissue Pe Multipack 3 Ply - 500 X 3,EGP 111.00,EGP 79.00,29%,4.6 out of 5
Strongville Hair Cream 120 gm,EGP 185.00,EGP 122.00,34%,4.3 out of 5
CLOROX for Colors Floral 2L - Liquid Stain Remover for Laundry Care,EGP 135.00,EGP 124.00,8%,4.3 out of 5
Samsung 43 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA43F6000FUXEG [2025 Model],"EGP 18,999.00","EGP 14,399.00",24%,4.3 out of 5
Shaan Vanilla Coconut Body Milk 300 ml,EGP 250.00,EGP 185.00,26%,4.6 out of 5
Caesar Women Pajama Set With Pants And Button Design,EGP 534.00,EGP 318.00,40%,4.1 out of 5
Strongville Hair Lotion Spray 100 ml,EGP 295.00,EGP 199.00,33%,4.1 out of 5
Luna Emollient Soft Cream Glycerin & Jojoba Oil 160 Gm,EGP 90.00,EGP 52.00,42%,4.4 out of 5
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,EGP 609.00,EGP 268.00 - EGP 307.00,56%,4.6 out of 5
Seropipe Hair Mask 225 ml,EGP 320.00,EGP 239.00,25%,4.5 out of 5
Papia Kitchen Tissue Towel - 3 Ply - 5+1 Roll,EGP 141.00,EGP 99.50,29%,4.5 out of 5
Shaan Hand Cream 60 gm,EGP 100.00,EGP 74.00,26%,4.7 out of 5
El Shalal Dishwashing Soap - 8Kg,EGP 285.00,EGP 185.00,35%,4.2 out of 5
CLOROX Liquid Bleach 950ML,EGP 29.00,EGP 27.00,7%,4.4 out of 5
Fiancee Shampoo with Rosemary and Jojoba for Shinier Hair - Rich in Natural Ingredients - 340 ml,EGP 70.00,EGP 45.00,36%,4 out of 5
L'Oreal Paris eal Paris Elvive Hyaluron Moisture 72H Conditioner - 200ml,EGP 125.00,EGP 99.00,21%,4.1 out of 5
L'Oreal Paris eal Paris Elvive Hyaluron Pure Rehydrating Conditioner for Oily Hair 360ml,EGP 204.00,EGP 155.00,24%,4.5 out of 5
Eva Smokers Cleansing ToothPaste With Charcoal 50 Gm,EGP 53.00,EGP 38.00,28%,4.1 out of 5
Luna OFFER Net Bundle 50gm Soft (2 Soft Cream + Free 20gm Soft),EGP 80.00,EGP 56.00,30%,4.2 out of 5
Renol Multipurpose Cleaner 8In1 And Degreaser - 750 ml,,EGP 70.00,,4.3 out of 5
Defacto Cotton Basic T-Shirt,EGP 399.00,EGP 340.00,15%,4.5 out of 5
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,EGP 599.00 - EGP 609.00,EGP 268.00 - EGP 575.00,56%,5 out of 5
Starville Acne Prone Skin Facial Cleanser 200 ml,EGP 140.00,EGP 90.00,36%,4 out of 5
Luna Glycerin Soap Pack of TWO 72gm Twist + Fragrance Free,EGP 65.00,EGP 45.00,31%,4.2 out of 5
Toilex Toilet Cleaner - 500ml - 3pieces,EGP 125.00,EGP 85.00,32%,4 out of 5
Shaan Tulip Rose Body Milk 300 ml – Nourishing Body Lotion,EGP 250.00,EGP 185.00,26%,4.4 out of 5
NIVEA MEN Antiperspirant Roll-on - 48h Protection with DEEP Black Carbon and Espresso Scent,EGP 100.00,EGP 69.00,31%,4.3 out of 5
Starville Acne Prone Skin Soap 90gm,EGP 65.00,EGP 44.00,32%,4.2 out of 5
Clary Hair Shampoo 300 ml,EGP 330.00,EGP 245.00,26%,4.4 out of 5
Luna Nail Polish Remover Strawberry Oval 100 ML,EGP 55.00,EGP 25.00,55%,4 out of 5
Shaan Soothing Gel 200 gm,EGP 240.00,EGP 179.00,25%,4.3 out of 5
L'Oreal Paris eal Paris Elvive Shampoo Extraordinary Oil Jojoba - Very Dry Hair 600ml,EGP 240.00,EGP 199.00,17%,4.3 out of 5
Starville Cream 60 gm,EGP 130.00,EGP 88.00,32%,4.4 out of 5
"Samsung Galaxy A17 - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Black","EGP 10,999.00","EGP 9,540.00",13%,4.2 out of 5
Seropipe Intense Nutrition Hair Shampoo 300 ml,EGP 295.00,EGP 210.00,29%,4.3 out of 5
CLOROX Ultra Stain Remover Powder - 450 gm,EGP 120.00,EGP 108.00,10%,4.5 out of 5
Brix Stain Remover 950 ML Lavander,EGP 63.00,EGP 49.00,22%,4.3 out of 5
Shaan Lip Balm 5 gm,EGP 100.00,EGP 74.00,26%,4.2 out of 5
Bebem Natural Baby Diapers Mega Pack Junior Size 5 - 76 Pieces,EGP 620.00,EGP 439.00,29%,4.4 out of 5
Renol Total Protection Disinfectant - 750 ml - Pack of 2 Pcs,EGP 155.00,EGP 125.00,19%,4.4 out of 5
Clary Hair Serum 100 ml,EGP 375.00,EGP 275.00,27%,4.2 out of 5
Luna Lip Balm Deep Care Card 3.5 Grams,EGP 40.00,EGP 27.00,33%,4 out of 5
Renol Power Disinfectant Spray - 625 gm,EGP 60.00,EGP 44.00,27%,4.5 out of 5
Sunsilk Thick and Long Hair Shampoo – 600ml,EGP 170.00,EGP 115.00,32%,4.3 out of 5
Brix Lavender Floor Cleaner - 3 L,EGP 187.00,EGP 128.00,32%,4.4 out of 5
L'Oreal Paris eal Paris Elvive Shampoo Extraordinary Nourishing Oil 600ml,EGP 240.00,EGP 199.00,17%,4.3 out of 5
CLOROX for Colors Floral 950ML,EGP 70.00,EGP 63.00,10%,4.3 out of 5
Starville Whitening Roll On Orient Pearl Scent 60 ml,EGP 150.00,EGP 99.00,34%,4.2 out of 5
Relax Feminine Maternity Napkins - 20 Pads,EGP 130.00,EGP 91.00,30%,4.5 out of 5
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,EGP 609.00 - EGP 799.00,EGP 268.00 - EGP 298.00,66%,4.8 out of 5
GLAMY LAB GLAMY LAB Purifying Cleanser Foam 150 ml,EGP 285.00,EGP 215.00,25%,4.5 out of 5
Starville Cleanser 100 ml,EGP 115.00,EGP 79.00,31%,4.4 out of 5
Garnier Ultra Doux Smoothing Coconut 3-In-1 Hair Food for Frizzy Hair - 390Ml,EGP 345.00,EGP 259.00,25%,4.3 out of 5
Defacto cto Man Standard Fit Knitted Shorts - Black,EGP 799.00,EGP 212.50 - EGP 447.00,73%,5 out of 5
Carina Cotton Sleeveless Tank Top for Women - Medium Beige,EGP 217.00,EGP 164.00,24%,4.8 out of 5
Eva Eva Skin Care Senses Body Lotion Gold Spell 240 Ml,EGP 141.00,EGP 103.50,27%,4.3 out of 5
Renol Sanitizer - Lavander - 115 ml,EGP 40.00,EGP 36.00,10%,4.5 out of 5
