prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
LC Waikiki Crew Neck Printed Women's T-Shirt,299.0,269.0,10.0,4.7
LC Waikiki Crew Neck Long Sleeve Men's Tricot Sweater,799.0,369.0,54.0,4.4
LC Waikiki Crew Neck Printed Jersey Men's T-Shirt,399.0,279.0,30.0,4.3
L'Oreal Paris eal Paris Elvive Total Repair 5 Shampoo - 400ml,180.0,135.0,25.0,4.3
L'Oreal Paris eal Paris Elvive Extraordinary Oil Shampoo for Very Dry Hair - 400ml,180.0,139.0,23.0,4.3
Sensodyne Extra Fresh Toothpaste - 100 ml - Pack of 6,785.0,492.0,37.0,4.3
CLOROX Liquid Bleach Floral 950ML,29.0,26.0,10.0,4.6
Axe Body Spray for Men Black Night 150ML,215.0,139.0,35.0,4.3
Oxi Brite Powder Detergent Spring - Concentrated - 4 KG + 2 KG,563.0,349.0,38.0,4.2
"Sensodyne Toothpaste Rapid Action, 75 ml *6",792.0,492.0,38.0,4.5
Oxi Lavender Powder Detergent - 4KG - Concentrated +2Kg,563.0,386.0,31.0,4.4
Luna Shower Gel Rose & Milk - 500ml,,65.0,,
L'Oreal Paris eal Paris Elvive Dream Long Reinforcing Shampoo For Weakened Long Hair - 400ml,180.0,135.0,25.0,4.4
Frida Fabric Fresh 4L - Upholstery Cleaner,244.0,149.0,39.0,4.4
Frida Fabric Spring Breeze 4L,244.0,149.0,39.0,4.4
L'Oreal Paris eal Paris Elvive Extraordinary Oil - Oil Replacement - 300ml,180.0,145.0,19.0,4.2
Starville Roll On 60 ml,150.0,99.0,34.0,4.4
Renol General Disinfectant – 500 ml – 2 Pcs,115.0,79.0,31.0,4.3
Shaan Rejuvenation Cream 120 gm,150.0,110.0,27.0,4.5
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,609.0,274.0,66.0,3.9
Frida Home Cleaning Fragrance Sahra 480 ml,72.0,41.0,43.0,4.3
Bahi Powder Lavander - 1500 G,127.0,87.0,31.0,4.2
Starville Roll On Light Pink Scent 60 ml,150.0,95.0,37.0,4.4
Renol Total Protection Disinfectant - 250 ml - 2 + 1 free,100.0,89.0,11.0,4.3
"NIVEA Antiperspirant Roll-on for Men, 72h Protection, DEEP DARK WOOD Antibacterial, Woody Scent, 50ml",100.0,69.0,31.0,4.4
Familia Facial Tissue Pe Multipack 3 Ply - 500 X 3,111.0,79.0,29.0,4.6
Strongville Hair Cream 120 gm,185.0,122.0,34.0,4.3
CLOROX for Colors Floral 2L - Liquid Stain Remover for Laundry Care,135.0,124.0,8.0,4.3
Samsung 43 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA43F6000FUXEG [2025 Model],18.0,14.0,24.0,4.3
Shaan Vanilla Coconut Body Milk 300 ml,250.0,185.0,26.0,4.6
Caesar Women Pajama Set With Pants And Button Design,534.0,318.0,40.0,4.1
Strongville Hair Lotion Spray 100 ml,295.0,199.0,33.0,4.1
Luna Emollient Soft Cream Glycerin & Jojoba Oil 160 Gm,90.0,52.0,42.0,4.4
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,609.0,268.0,56.0,4.6
Seropipe Hair Mask 225 ml,320.0,239.0,25.0,4.5
Papia Kitchen Tissue Towel - 3 Ply - 5+1 Roll,141.0,99.0,29.0,4.5
Shaan Hand Cream 60 gm,100.0,74.0,26.0,4.7
El Shalal Dishwashing Soap - 8Kg,285.0,185.0,35.0,4.2
CLOROX Liquid Bleach 950ML,29.0,27.0,7.0,4.4
Fiancee Shampoo with Rosemary and Jojoba for Shinier Hair - Rich in Natural Ingredients - 340 ml,70.0,45.0,36.0,4.0
L'Oreal Paris eal Paris Elvive Hyaluron Moisture 72H Conditioner - 200ml,125.0,99.0,21.0,4.1
L'Oreal Paris eal Paris Elvive Hyaluron Pure Rehydrating Conditioner for Oily Hair 360ml,204.0,155.0,24.0,4.5
Eva Smokers Cleansing ToothPaste With Charcoal 50 Gm,53.0,38.0,28.0,4.1
Luna OFFER Net Bundle 50gm Soft (2 Soft Cream + Free 20gm Soft),80.0,56.0,30.0,4.2
Renol Multipurpose Cleaner 8In1 And Degreaser - 750 ml,,70.0,,
Defacto Cotton Basic T-Shirt,399.0,340.0,15.0,4.5
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,599.0,268.0,56.0,5.0
Starville Acne Prone Skin Facial Cleanser 200 ml,140.0,90.0,36.0,4.0
Luna Glycerin Soap Pack of TWO 72gm Twist + Fragrance Free,65.0,45.0,31.0,4.2
Toilex Toilet Cleaner - 500ml - 3pieces,125.0,85.0,32.0,4.0
Shaan Tulip Rose Body Milk 300 ml – Nourishing Body Lotion,250.0,185.0,26.0,4.4
NIVEA MEN Antiperspirant Roll-on - 48h Protection with DEEP Black Carbon and Espresso Scent,100.0,69.0,31.0,4.3
Starville Acne Prone Skin Soap 90gm,65.0,44.0,32.0,4.2
Clary Hair Shampoo 300 ml,330.0,245.0,26.0,4.4
Luna Nail Polish Remover Strawberry Oval 100 ML,55.0,25.0,55.0,4.0
Shaan Soothing Gel 200 gm,240.0,179.0,25.0,4.3
L'Oreal Paris eal Paris Elvive Shampoo Extraordinary Oil Jojoba - Very Dry Hair 600ml,240.0,199.0,17.0,4.3
Starville Cream 60 gm,130.0,88.0,32.0,4.4
"Samsung Galaxy A17 - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Black",10.0,9.0,13.0,4.2
Seropipe Intense Nutrition Hair Shampoo 300 ml,295.0,210.0,29.0,4.3
CLOROX Ultra Stain Remover Powder - 450 gm,120.0,108.0,10.0,4.5
Brix Stain Remover 950 ML Lavander,63.0,49.0,22.0,4.3
Shaan Lip Balm 5 gm,100.0,74.0,26.0,4.2
Bebem Natural Baby Diapers Mega Pack Junior Size 5 - 76 Pieces,620.0,439.0,29.0,4.4
Renol Total Protection Disinfectant - 750 ml - Pack of 2 Pcs,155.0,125.0,19.0,4.4
Clary Hair Serum 100 ml,375.0,275.0,27.0,4.2
Luna Lip Balm Deep Care Card 3.5 Grams,40.0,27.0,33.0,4.0
Renol Power Disinfectant Spray - 625 gm,60.0,44.0,27.0,4.5
Sunsilk Thick and Long Hair Shampoo – 600ml,170.0,115.0,32.0,4.3
Brix Lavender Floor Cleaner - 3 L,187.0,128.0,32.0,4.4
L'Oreal Paris eal Paris Elvive Shampoo Extraordinary Nourishing Oil 600ml,240.0,199.0,17.0,4.3
CLOROX for Colors Floral 950ML,70.0,63.0,10.0,4.3
Starville Whitening Roll On Orient Pearl Scent 60 ml,150.0,99.0,34.0,4.2
Relax Feminine Maternity Napkins - 20 Pads,130.0,91.0,30.0,4.5
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt,609.0,268.0,66.0,4.8
GLAMY LAB GLAMY LAB Purifying Cleanser Foam 150 ml,285.0,215.0,25.0,4.5
Starville Cleanser 100 ml,115.0,79.0,31.0,4.4
Garnier Ultra Doux Smoothing Coconut 3-In-1 Hair Food for Frizzy Hair - 390Ml,345.0,259.0,25.0,4.3
Defacto cto Man Standard Fit Knitted Shorts - Black,799.0,212.0,73.0,5.0
Carina Cotton Sleeveless Tank Top for Women - Medium Beige,217.0,164.0,24.0,4.8
Eva Eva Skin Care Senses Body Lotion Gold Spell 240 Ml,141.0,103.0,27.0,4.3
Renol Sanitizer - Lavander - 115 ml,40.0,36.0,10.0,4.5
Frida Kitchen 2*1 scent orange - 550 gm,90.0,57.0,37.0,4.3
Oxi Powder Det Lavender - 2 Kg,199.0,137.0,31.0,4.4
Superkids Hair Leave In Conditioner 250 ml,170.0,125.0,26.0,4.3
Defacto %100 Pamuk Polo Tişört,699.0,581.0,17.0,5.0
Frida Furniture Cleaner - 600 ml,93.0,65.0,30.0,4.4
ADIDAS Park St 2.0 Shoes,4.0,2.0,47.0,4.8
Garnier Ultra Doux Repairing Papaya 3-In-1 Hair Food for Damaged Hair - 390ml,345.0,259.0,25.0,4.3
Oxi Powder Det Oriental - 1 Kg,106.0,69.0,35.0,4.4
Carina (Cookies) Cotton Slim Legging,269.0,211.0,22.0,4.6
Starville Roll On Red Berry 60 ml,150.0,99.0,34.0,4.4
Defacto Crew Neck Butterfly Pattern Short Sleeve T-Shirt,399.0,379.0,5.0,4.7
Private Maxi Pocket Night Sanitary Pads – 48 Pads,227.0,159.0,30.0,4.5
Dosh Hand Wash Black - 450 Ml - Elegance Breez,70.0,39.0,44.0,4.7
Brix Lavender Floor Cleaner - 730 L,64.0,39.0,39.0,4.3
Feba Liquid Dish Cleaner With Lemon Scent - 4kg,223.0,149.0,33.0,4.5
Sparkle Shampoo and Conditioner Caffein 600 Ml,118.0,91.0,23.0,4.4
Papia Silky Softness Toilet Paper - 10 + 2 Roll 3 ply,175.0,131.0,25.0,4.7
NIVEA Black & White Invisible Original Antiperspirant for Women - Roll-on 50ml,100.0,69.0,31.0,4.4
Defacto Woman Animal Print 3 Piece Cotton Ankle Socks,299.0,130.0,57.0,4.7
